faction_id_0to7,source_palette_index,remapped_palette_index
1,16,79
1,17,79
1,18,79
1,19,79
1,20,79
1,21,78
1,22,78
1,23,78
1,24,77
1,25,77
1,26,77
1,27,77
1,28,76
1,29,76
1,30,76
1,31,75
1,32,75
1,33,74
1,34,74
1,35,74
1,36,74
1,37,74
1,38,73
1,39,73
1,40,73
1,41,73
1,42,73
1,43,72
1,44,72
1,45,72
1,46,71
1,47,71
1,48,70
1,49,70
1,50,70
1,51,70
1,52,69
1,53,69
1,54,65
1,55,65
1,56,65
1,57,65
1,58,65
1,59,65
1,60,65
1,61,65
1,62,65
1,63,65
1,80,79
1,81,79
1,82,79
1,83,79
1,84,79
1,85,79
1,86,79
1,87,79
1,88,79
1,89,79
1,90,79
1,91,79
1,92,79
1,93,79
1,94,79
1,95,79
1,96,79
1,97,79
1,98,79
1,99,79
1,100,79
1,101,79
1,102,79
1,103,79
1,104,79
1,105,79
1,106,78
1,107,78
1,108,78
1,109,78
1,110,78
1,111,78
1,112,77
1,113,77
1,114,77
1,115,77
1,116,77
1,117,76
1,118,76
1,119,76
1,120,76
1,121,75
1,122,75
1,123,75
1,124,75
1,125,75
1,126,75
1,127,75
1,128,74
1,129,74
1,130,74
1,131,74
1,132,74
1,133,74
1,134,74
1,135,73
1,136,73
1,137,73
1,138,73
1,139,73
1,140,73
1,141,73
1,142,73
1,143,73
1,160,79
1,161,78
1,162,78
1,163,77
1,164,76
1,165,76
1,166,75
1,167,74
1,168,74
1,169,74
1,170,74
1,171,73
1,172,73
1,173,73
1,174,72
1,175,72
1,199,77
1,200,75
1,201,73
1,202,70
1,203,70
1,204,70
1,205,70
1,210,74
1,211,75
1,212,78
1,213,79
1,214,150
1,215,76
1,216,76
1,217,78
1,218,78
1,219,76
1,220,75
1,221,74
1,222,73
1,223,72
2,16,163
2,17,163
2,18,164
2,19,164
2,20,165
2,21,165
2,22,168
2,23,168
2,24,168
2,25,168
2,26,170
2,27,170
2,28,170
2,29,170
2,30,172
2,31,172
2,32,172
2,33,172
2,34,172
2,35,172
2,36,172
2,37,172
2,38,172
2,39,172
2,40,174
2,41,174
2,42,174
2,43,174
2,44,174
2,45,174
2,46,174
2,47,174
2,48,175
2,49,175
2,50,175
2,51,175
2,52,175
2,53,175
2,54,175
2,55,175
2,56,175
2,57,175
2,58,175
2,59,175
2,60,175
2,61,175
2,62,175
2,63,175
2,80,163
2,81,163
2,82,164
2,83,164
2,84,164
2,85,164
2,86,164
2,87,164
2,88,164
2,89,164
2,90,164
2,91,164
2,92,164
2,93,164
2,94,164
2,95,164
2,96,164
2,97,164
2,98,164
2,99,164
2,100,164
2,101,164
2,102,164
2,103,164
2,104,165
2,105,165
2,106,165
2,107,165
2,108,165
2,109,168
2,110,168
2,111,168
2,112,168
2,113,168
2,114,168
2,115,168
2,116,168
2,117,168
2,118,168
2,119,168
2,120,168
2,121,168
2,122,168
2,123,168
2,124,168
2,125,168
2,126,168
2,127,168
2,128,170
2,129,170
2,130,170
2,131,170
2,132,170
2,133,170
2,134,172
2,135,172
2,136,172
2,137,172
2,138,174
2,139,174
2,140,174
2,141,174
2,142,174
2,143,174
2,210,170
2,211,168
2,212,165
2,213,164
2,214,163
3,16,146
3,17,146
3,18,147
3,19,147
3,20,147
3,21,147
3,22,147
3,23,148
3,24,148
3,25,150
3,26,150
3,27,151
3,28,151
3,29,151
3,30,151
3,31,151
3,32,154
3,33,154
3,34,154
3,35,154
3,36,155
3,37,155
3,38,155
3,39,155
3,40,155
3,41,183
3,42,183
3,43,183
3,44,183
3,45,183
3,46,183
3,47,183
3,48,183
3,49,183
3,50,183
3,51,183
3,52,159
3,53,159
3,54,159
3,55,159
3,56,159
3,57,159
3,58,190
3,59,190
3,60,190
3,61,190
3,62,190
3,63,190
3,64,190
3,80,146
3,81,146
3,82,146
3,83,146
3,84,146
3,85,146
3,86,146
3,87,146
3,88,146
3,89,146
3,90,147
3,91,147
3,92,147
3,93,147
3,94,147
3,95,147
3,96,147
3,97,147
3,98,147
3,99,148
3,100,148
3,101,148
3,102,148
3,103,148
3,104,148
3,105,148
3,106,148
3,107,148
3,108,148
3,109,150
3,110,150
3,111,150
3,112,150
3,113,150
3,114,150
3,115,150
3,116,150
3,117,150
3,118,150
3,119,150
3,120,150
3,121,151
3,122,151
3,123,151
3,124,151
3,125,151
3,126,151
3,127,150
3,128,151
3,129,151
3,130,151
3,131,154
3,132,154
3,133,154
3,134,183
3,135,183
3,136,183
3,137,183
3,138,183
3,139,183
3,140,190
3,141,190
3,142,190
3,143,190
3,160,146
3,161,146
3,162,147
3,163,147
3,164,147
3,165,148
3,166,148
3,167,148
3,168,148
3,210,151
3,211,148
3,212,147
3,213,146
3,214,146
3,215,146
3,216,147
3,217,148
3,218,150
3,219,151
3,220,154
3,221,155
3,222,159
3,223,159
4,16,94
4,17,94
4,18,94
4,19,94
4,20,232
4,21,232
4,22,235
4,23,235
4,24,236
4,25,236
4,26,236
4,27,236
4,28,237
4,29,237
4,30,237
4,31,238
4,32,238
4,33,239
4,34,239
4,35,239
4,36,239
4,37,239
4,38,241
4,39,241
4,40,241
4,41,241
4,42,241
4,43,242
4,44,242
4,45,242
4,46,243
4,47,243
4,48,243
4,49,243
4,50,243
4,51,243
4,52,243
4,53,243
4,54,243
4,55,65
4,56,65
4,57,65
4,58,65
4,59,65
4,60,65
4,61,65
4,62,65
4,63,65
4,127,130
4,128,130
4,129,130
4,210,239
4,211,237
4,212,234
4,213,231
4,214,231
5,16,82
5,17,84
5,18,85
5,19,87
5,20,93
5,21,96
5,22,96
5,23,99
5,24,103
5,25,103
5,26,113
5,27,113
5,28,113
5,29,123
5,30,123
5,31,123
5,32,123
5,33,129
5,34,129
5,35,129
5,36,129
5,37,129
5,38,129
5,39,129
5,40,135
5,41,135
5,42,135
5,43,135
5,44,135
5,45,135
5,46,135
5,47,135
5,48,135
5,49,141
5,50,141
5,51,141
5,52,141
5,53,141
5,54,141
5,55,141
5,56,141
5,57,190
5,58,190
5,59,190
5,60,190
5,61,191
5,62,191
5,63,191
5,80,84
5,81,84
5,82,84
5,83,84
5,84,93
5,85,93
5,86,96
5,87,96
5,88,103
5,89,103
5,90,103
5,91,103
5,92,103
5,93,103
5,94,103
5,95,103
5,96,103
5,97,103
5,98,103
5,99,103
5,100,103
5,101,103
5,102,103
5,104,103
5,105,103
5,106,103
5,107,103
5,108,103
5,109,103
5,110,103
5,111,103
5,112,113
5,114,113
5,115,113
5,116,113
5,117,113
5,118,113
5,119,113
5,120,113
5,121,113
5,122,113
5,124,123
5,125,123
5,126,123
5,127,123
5,128,129
5,130,129
5,131,129
5,132,129
5,133,129
5,134,129
5,136,135
5,137,135
5,138,135
5,139,135
5,140,135
5,141,135
5,142,135
5,143,135
5,160,113
5,161,113
5,162,113
5,163,123
5,164,123
5,165,123
5,166,123
5,167,129
5,168,129
5,169,129
5,170,129
5,171,135
5,172,135
5,173,135
5,174,135
5,175,135
5,210,129
5,211,113
5,212,99
5,213,87
5,214,87
5,215,87
5,216,87
5,217,107
5,218,123
5,219,129
5,220,135
5,221,190
5,222,190
5,223,191
6,16,215
6,17,216
6,18,216
6,19,216
6,20,217
6,21,217
6,22,217
6,23,218
6,24,218
6,25,218
6,26,218
6,27,219
6,28,219
6,29,219
6,30,219
6,31,220
6,32,220
6,33,221
6,34,221
6,35,221
6,36,221
6,37,221
6,38,222
6,39,222
6,40,223
6,41,223
6,42,223
6,43,223
6,44,223
6,45,223
6,46,223
6,47,223
6,48,223
6,49,223
6,50,223
6,51,223
6,52,223
6,53,223
6,54,223
6,55,224
6,56,224
6,57,224
6,58,224
6,59,224
6,60,224
6,61,224
6,62,224
6,63,227
6,64,227
6,80,215
6,81,215
6,82,217
6,83,217
6,84,217
6,85,217
6,86,217
6,87,217
6,88,217
6,89,217
6,90,217
6,91,217
6,92,217
6,93,217
6,94,217
6,95,217
6,96,217
6,97,217
6,98,217
6,99,217
6,100,217
6,101,217
6,102,217
