filename,id_dec,content,alt,flags,warnings
"CORETXT.BIN",100,"Name","Model","",""
"CORETXT.BIN",101,"Model","Age","",""
"CORETXT.BIN",102,"Age","of","",""
"CORETXT.BIN",103,"of","%d of %d","alt:param:number",""
"CORETXT.BIN",104,"%d of %d","%3d of %3d","param:number|alt:param:template",""
"CORETXT.BIN",105,"%3d of %3d","Rank","param:template",""
"CORETXT.BIN",106,"Rank","Value","",""
"CORETXT.BIN",107,"Value","Val","",""
"CORETXT.BIN",108,"Val","Exp","",""
"CORETXT.BIN",109,"Exp","Normal","",""
"CORETXT.BIN",110,"Normal","Norm","",""
"CORETXT.BIN",111,"Norm","Max","",""
"CORETXT.BIN",112,"Max","month remaining","",""
"CORETXT.BIN",113,"month remaining","months remaining","",""
"CORETXT.BIN",114,"months remaining","Life signs weakening","",""
"CORETXT.BIN",115,"Life signs weakening","Life signs deteriorating","",""
"CORETXT.BIN",116,"Life signs deteriorating","Life cycle expired.  Bioderm terminated.","",""
"CORETXT.BIN",117,"Life cycle expired.  Bioderm terminated.","Genetic cohesion lost.  Bioderm disintegrated.","",""
"CORETXT.BIN",118,"Genetic cohesion lost.  Bioderm disintegrated.","Massive damage.  Bioderm disintegrated.","",""
"CORETXT.BIN",119,"Massive damage.  Bioderm disintegrated.","Health","",""
"CORETXT.BIN",120,"Health","Stability","",""
"CORETXT.BIN",121,"Stability","Toxin Level","",""
"CORETXT.BIN",122,"Toxin Level","Piloting","",""
"CORETXT.BIN",123,"Piloting","Energy","",""
"CORETXT.BIN",124,"Energy","Missile","",""
"CORETXT.BIN",125,"Missile","Cannon","",""
"CORETXT.BIN",126,"Cannon","Plasma","",""
"CORETXT.BIN",127,"Plasma","Elec. Flux","",""
"CORETXT.BIN",128,"Elec. Flux","Advanced Tech.","",""
"CORETXT.BIN",129,"Advanced Tech.","Command","",""
"CORETXT.BIN",130,"Command","Commander Herc configuration","",""
"CORETXT.BIN",150,"Commander Herc configuration","MISSION BRIEFING","",""
"CORETXT.BIN",151,"MISSION BRIEFING","MISSION DEBRIEFING","",""
"CORETXT.BIN",152,"MISSION DEBRIEFING","Star System","",""
"CORETXT.BIN",153,"Star System","Planet","",""
"CORETXT.BIN",154,"Planet","Destination","",""
"CORETXT.BIN",155,"Destination","Points","",""
"CORETXT.BIN",156,"Points","Cybrids","",""
"CORETXT.BIN",157,"Cybrids","Cybrids destroyed","",""
"CORETXT.BIN",158,"Cybrids destroyed","Ore","",""
"CORETXT.BIN",159,"Ore","Ore mined","",""
"CORETXT.BIN",160,"Ore mined","Units of ore mined","",""
"CORETXT.BIN",161,"Units of ore mined","Automine Ore","",""
"CORETXT.BIN",162,"Automine Ore","New rank","",""
"CORETXT.BIN",163,"New rank","NEW TECHNOLOGY NOW AVAILABLE","",""
"CORETXT.BIN",164,"NEW TECHNOLOGY NOW AVAILABLE","Herc","",""
"CORETXT.BIN",165,"Herc","Bioderm","",""
"CORETXT.BIN",166,"Bioderm","Unlinked Bioderms","",""
"CORETXT.BIN",167,"Unlinked Bioderms","Status","",""
"CORETXT.BIN",168,"Status","Deceased","",""
"CORETXT.BIN",169,"Deceased","Destroyed","",""
"CORETXT.BIN",170,"Destroyed","Promoted","",""
"CORETXT.BIN",171,"Promoted","Nominal","",""
"CORETXT.BIN",172,"Nominal","Unstable","",""
"CORETXT.BIN",173,"Unstable","Tweaking","",""
"CORETXT.BIN",174,"Tweaking","Disintegrating","",""
"CORETXT.BIN",175,"Disintegrating","No compatible components","",""
"CORETXT.BIN",176,"No compatible components","credits","",""
"CORETXT.BIN",177,"credits","No change","",""
"CORETXT.BIN",178,"No change","Herc Force","",""
"CORETXT.BIN",179,"Herc Force","Objective","",""
"CORETXT.BIN",180,"Objective","Mission length","",""
"CORETXT.BIN",181,"Mission length","months","",""
"CORETXT.BIN",182,"months","Promotion","",""
"CORETXT.BIN",183,"Promotion","Performance","",""
"CORETXT.BIN",184,"Performance","Rating points","",""
"CORETXT.BIN",185,"Rating points","Upon mission completion","",""
"CORETXT.BIN",186,"Upon mission completion","PAYMENT","",""
"CORETXT.BIN",187,"PAYMENT","Payment","",""
"CORETXT.BIN",188,"Payment","Pay","",""
"CORETXT.BIN",189,"Pay","Total payment","",""
"CORETXT.BIN",190,"Total payment","Cybrid bounty","",""
"CORETXT.BIN",191,"Cybrid bounty","credits per Cybrid","",""
"CORETXT.BIN",192,"credits per Cybrid","BONUS","",""
"CORETXT.BIN",193,"BONUS","Bonus","",""
"CORETXT.BIN",194,"Bonus","Amount","",""
"CORETXT.BIN",195,"Amount","Goal","",""
"CORETXT.BIN",196,"Goal","Mission goal","",""
"CORETXT.BIN",197,"Mission goal","None","",""
"CORETXT.BIN",198,"None","Mission type","",""
"CORETXT.BIN",199,"Mission type","Training","",""
"CORETXT.BIN",200,"Training","Exploration","",""
"CORETXT.BIN",201,"Exploration","Mining","",""
"CORETXT.BIN",202,"Mining","Military","",""
"CORETXT.BIN",203,"Military","Elite military","",""
"CORETXT.BIN",204,"Elite military","Ensign","",""
"CORETXT.BIN",205,"Ensign","Unit Leader","",""
"CORETXT.BIN",206,"Unit Leader","Unit Captain","",""
"CORETXT.BIN",207,"Unit Captain","Squad Leader","",""
"CORETXT.BIN",208,"Squad Leader","Squad Captain","",""
"CORETXT.BIN",209,"Squad Captain","Squad Commander","",""
"CORETXT.BIN",210,"Squad Commander","Force Leader","",""
"CORETXT.BIN",211,"Force Leader","Force Captain","",""
"CORETXT.BIN",212,"Force Captain","Combat Leader","",""
"CORETXT.BIN",213,"Combat Leader","Combat Captain","",""
"CORETXT.BIN",214,"Combat Captain","Combat Commander","",""
"CORETXT.BIN",215,"Combat Commander","Battle Leader","",""
"CORETXT.BIN",216,"Battle Leader","Battle Captain","",""
"CORETXT.BIN",217,"Battle Captain","Herc Commander","",""
"CORETXT.BIN",218,"Herc Commander","Victor","",""
"CORETXT.BIN",219,"Victor","PLANET INFORMATION","",""
"CORETXT.BIN",220,"PLANET INFORMATION","Terrain","",""
"CORETXT.BIN",221,"Terrain","Gravity","",""
"CORETXT.BIN",222,"Gravity","Atmosphere","",""
"CORETXT.BIN",223,"Atmosphere","Additional information","",""
"CORETXT.BIN",224,"Additional information","Explored hexes","",""
"CORETXT.BIN",225,"Explored hexes","MISSION ABORTED","",""
"CORETXT.BIN",226,"MISSION ABORTED","MISSION FAILED","",""
"CORETXT.BIN",227,"MISSION FAILED","Game loaded successfully.","",""
"CORETXT.BIN",228,"Game loaded successfully.","Returning to Herc Base.","",""
"CORETXT.BIN",229,"Returning to Herc Base.","Entering the battlefield.","",""
"CORETXT.BIN",230,"Entering the battlefield.","%d","alt:param:number",""
"CORETXT.BIN",231,"%d","OK","param:number",""
"CORETXT.BIN",232,"OK","%d","alt:param:number",""
"CORETXT.BIN",233,"%d","load","param:number",""
"CORETXT.BIN",234,"load","out","",""
"CORETXT.BIN",235,"out","NA","",""
"CORETXT.BIN",236,"NA","Miss","",""
"CORETXT.BIN",237,"Miss","Absorbed","",""
"CORETXT.BIN",238,"Absorbed","Hit","",""
"CORETXT.BIN",239,"Hit","Hit!","",""
"CORETXT.BIN",240,"Hit!","Damaged!","",""
"CORETXT.BIN",241,"Damaged!","DESTROYED!","",""
"CORETXT.BIN",242,"DESTROYED!","Leave battlefield and return to Herc Base?","",""
